,security_code,security_name,ex_date,purpose,record_date,bc_start_date,bc_end_date,nd_start_date,nd_end_date,actual_payment_date
1,511333,VLSFINANCE, ,Dividend - Rs. - 1.5000,-,24 Oct 2020,30 Oct 2020, , ,-
2,500002,ABB,16 Jul 2020,Dividend - Rs. - 4.8000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
3,533138,ASTEC,16 Jul 2020,Final Dividend - Rs. - 1.5000,-,18 Jul 2020,21 Jul 2020,13 Jul 2020,16 Jul 2020,-
4,501425,BBTC,16 Jul 2020,Dividend - Rs. - 1.2000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
5,506390,CLNINDIA,16 Jul 2020,Special Dividend - Rs. - 140.0000,18 Jul 2020, , ,13 Jul 2020,16 Jul 2020,-
6,506395,COROMANDEL,16 Jul 2020,Final Dividend - Rs. - 12.0000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
7,506076,GRINDWELL,16 Jul 2020,Dividend - Rs. - 7.5000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
8,500252,LAXMIMACH,16 Jul 2020,Dividend - Rs. - 10.0000,-,18 Jul 2020,24 Jul 2020,13 Jul 2020,16 Jul 2020,-
9,500520,M&M,16 Jul 2020,Dividend - Rs. - 2.3500,-,18 Jul 2020,07 Aug 2020,13 Jul 2020,16 Jul 2020,-
10,500302,PEL,16 Jul 2020,Final Dividend - Rs. - 14.0000,-,18 Jul 2020,30 Jul 2020,13 Jul 2020,16 Jul 2020,-
11,519091,TASTYBIT,16 Jul 2020,Final Dividend - Rs. - 2.0000,-,18 Jul 2020,06 Aug 2020,13 Jul 2020,16 Jul 2020,-
12,500660,GLAXO,17 Jul 2020,Final Dividend - Rs. - 20.0000,20 Jul 2020, , ,13 Jul 2020,17 Jul 2020,-
13,500660,GLAXO,17 Jul 2020,Special Dividend - Rs. - 20.0000,20 Jul 2020, , ,13 Jul 2020,17 Jul 2020,-
14,500850,INDHOTEL,17 Jul 2020,Final Dividend - Rs. - 0.5000,-,21 Jul 2020,27 Jul 2020,14 Jul 2020,20 Jul 2020,-
15,513605,SRIPIPES,17 Jul 2020,Dividend - Rs. - 7.0000,-,21 Jul 2020,27 Jul 2020,14 Jul 2020,20 Jul 2020,-
16,540900,NEWGEN,20 Jul 2020,Final Dividend - Rs. - 2.0000,21 Jul 2020, , ,14 Jul 2020,20 Jul 2020,-
17,500314,ORIENTHOT,20 Jul 2020,Final Dividend - Rs. - 0.2000,-,22 Jul 2020,28 Jul 2020,15 Jul 2020,21 Jul 2020,-
18,509966,VSTIND,20 Jul 2020,Final Dividend - Rs. - 103.0000,-,22 Jul 2020,29 Jul 2020,15 Jul 2020,21 Jul 2020,-
19,541269,CHEMFABALKA,21 Jul 2020,Final Dividend - Rs. - 1.2500,-,23 Jul 2020,29 Jul 2020,16 Jul 2020,22 Jul 2020,-
20,509675,HIL,21 Jul 2020,Final Dividend - Rs. - 10.0000,-,23 Jul 2020,29 Jul 2020,16 Jul 2020,22 Jul 2020,-
21,532156,VAIBHAVGBL,21 Jul 2020,Final Dividend - Rs. - 7.0000,-,23 Jul 2020,23 Jul 2020,16 Jul 2020,22 Jul 2020,-
22,541865,ASRL,22 Jul 2020,Bonus issue 3:4,23 Jul 2020, , ,16 Jul 2020,22 Jul 2020,-
