,company_name,purpose,anouncement,record_date,ex-date,bc_start_date,bc_end_date,nd_start_date,nd_end_date,actual_payment_date
1,Kuantum Papers,SPLITS from Old FV 10 to New FV 1,None,None,14-07-2020,None,None,None,None,None
2,Kemp and Co,Final DIVIDEND of 5.00,29-06-2020,-,21-09-2020,None,None,None,None,None
3,Kkalpana Ind,Final DIVIDEND of 6.00,29-06-2020,-,21-09-2020,None,None,None,None,None
4,Creative Periph,Final DIVIDEND of 5.00,25-06-2020,20-09-2020,19-09-2020,None,None,None,None,None
5,Kamdhenu,Final DIVIDEND of 5.00,29-06-2020,-,18-09-2020,None,None,None,None,None
6,Apollo Hospital,Final DIVIDEND of 55.00,25-06-2020,-,17-09-2020,None,None,None,None,None
7,Berger Paints,Final DIVIDEND of 30.00,23-06-2020,-,17-09-2020,None,None,None,None,None
8,Goldiam Inter,Final DIVIDEND of 15.00,25-06-2020,-,17-09-2020,None,None,None,None,None
9,The Indian Wood,Final DIVIDEND of 5.00,03-07-2020,-,17-09-2020,None,None,None,None,None
10,Jindal Saw,Final DIVIDEND of 100.00,29-06-2020,-,17-09-2020,None,None,None,None,None
11,Dhunseri Ventur,Final DIVIDEND of 5.00,03-07-2020,-,16-09-2020,None,None,None,None,None
12,Punjab Chemical,Final DIVIDEND of 15.00,29-06-2020,-,16-09-2020,None,None,None,None,None
13,Rossell India,Final DIVIDEND of 10.00,29-06-2020,-,15-09-2020,None,None,None,None,None
14,Talbros Auto,Final DIVIDEND of 5.00,29-06-2020,-,15-09-2020,None,None,None,None,None
15,FIEM Ind,Final DIVIDEND of 30.00,30-06-2020,-,11-09-2020,None,None,None,None,None
16,Victoria Mills,Final DIVIDEND of 50.00,30-06-2020,-,11-09-2020,None,None,None,None,None
17,HLE Glascoat,Final DIVIDEND of 25.00,22-06-2020,-,10-09-2020,None,None,None,None,None
18,Tamil Newsprint,Final DIVIDEND of 60.00,30-06-2020,-,09-09-2020,None,None,None,None,None
19,Rajapalayam,Final DIVIDEND of 10.00,24-06-2020,09-09-2020,08-09-2020,None,None,None,None,None
