,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
1,INDHOTEL,The Indian Hotels Company Limited,EQ,1,Annual General Meeting/Dividend - Rs 0.50 Per Share,17-Jul-2020,,21-Jul-2020,27-Jul-2020
2,SHANKARA,Shankara Building Products Limited,EQ,10,Annual General Meeting,17-Jul-2020,,21-Jul-2020,29-Jul-2020
3,700GS2021,GOI LOAN 7.00% 2021,GS,100,Interest Payment,17-Jul-2020,20-Jul-2020,,
4,SRIPIPES,Srikalahasthi Pipes Limited,EQ,10,Annual General Meeting/Dividend - Rs 7 Per Share,17-Jul-2020,,21-Jul-2020,27-Jul-2020
5,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,10,Dividend - Rs 20 And Special Dividend - Rs 20 Per Share,17-Jul-2020,20-Jul-2020,,
6,ORIENTHOT,Oriental Hotels Limited,EQ,1,Annual General Meeting/Dividend - Rs 0.20 Per Share,20-Jul-2020,,22-Jul-2020,28-Jul-2020
7,TEJASNET,Tejas Networks Limited,EQ,10,Annual General Meeting,20-Jul-2020,,22-Jul-2020,28-Jul-2020
8,NEWGEN,Newgen Software Technologies Limited,EQ,10,Annual General Meeting/Dividend - Rs 2 Per Share,20-Jul-2020,21-Jul-2020,,
9,GRAPHITE,Graphite India Limited,EQ,2,Annual General Meeting,20-Jul-2020,,22-Jul-2020,28-Jul-2020
10,L&TFH,L&T Finance Holdings Limited,EQ,10,Annual General Meeting,20-Jul-2020,,22-Jul-2020,28-Jul-2020
11,VSTIND,VST Industries Limited,EQ,10,Dividend - Rs 103 Per Share,20-Jul-2020,,22-Jul-2020,29-Jul-2020
12,AJANTPHARM,Ajanta Pharma Limited,EQ,2,Annual General Meeting,21-Jul-2020,,23-Jul-2020,30-Jul-2020
13,CHEMFAB,Chemfab Alkalis Limited,EQ,10,Annual General Meeting/Dividend - Rs 1.25 Per Share,21-Jul-2020,,23-Jul-2020,29-Jul-2020
14,PRECAM,Precision Camshafts Limited,EQ,10,Annual General Meeting,21-Jul-2020,,23-Jul-2020,30-Jul-2020
15,VAIBHAVGBL,Vaibhav Global Limited,EQ,10,Annual General Meeting/Dividend - Rs 7 Per Share,21-Jul-2020,,23-Jul-2020,23-Jul-2020
16,HIL,HIL Limited,EQ,10,Annual General Meeting/Dividend - Rs 10 Per Share,21-Jul-2020,22-Jul-2020,,
17,COLPAL,Colgate Palmolive (India) Limited,EQ,1,Annual General Meeting,21-Jul-2020,,23-Jul-2020,29-Jul-2020
18,TTL,T T Limited,EQ,10,Annual General Meeting,21-Jul-2020,,23-Jul-2020,29-Jul-2020
19,GESHIP,The Great Eastern Shipping Company Limited,EQ,10,Annual General Meeting,22-Jul-2020,,24-Jul-2020,30-Jul-2020
20,PHILIPCARB,Phillips Carbon Black Limited,EQ,2,Annual General Meeting,22-Jul-2020,,24-Jul-2020,30-Jul-2020
21,AXISNIFTY,Axis Mutual Fund - AXIS NIFTY ETF,BL,100,Face Value Split (Sub-Division) - From Rs 100/- Per Share To Rs 10/- Per Share,23-Jul-2020,24-Jul-2020,,
22,AXISGOLD,Axis Mutual Fund - Axis Gold ETF,EQ,100,Face Value Split (Sub-Division) - From Rs 100/- Per Share To Re 1/- Per Share,23-Jul-2020,24-Jul-2020,,
23,HINDCON,Hindcon Chemicals Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.90 PER SHARE,17-Aug-2020,,19-Aug-2020,25-Aug-2020
24,SILGO,Silgo Retail Limited,SM,10,ANNUAL GENERAL MEETING,23-Jul-2020,,27-Jul-2020,03-Aug-2020
25,BANKA,Banka BioLoo Limited,SM,10,INTERIM DIVIDEND - RS   0.50 PER SHARE,09-Jul-2020,10-Jul-2020,,
26,HUSYSLTD,Husys Consulting Limited,SM,10,ANNUAL GENERAL MEETING,07-Aug-2020,,11-Aug-2020,17-Aug-2020
27,DEVIT,Dev Information Technology Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND-RE 0.50 PER SHARE,20-Sep-2017,,22-Sep-2017,22-Sep-2017
28,ACEINTEG,Ace Integrated Solutions Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
29,TIRUPATI,Shree Tirupati Balajee FIBC Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,27-Sep-2019
30,HECPROJECT,HEC Infra Projects Limited,SM,10,ANNUAL GENERAL MEETING/ DIVIDEND- RE 1 PER SHARE,21-Sep-2017,,23-Sep-2017,29-Sep-2017
31,CROWN,Crown Lifters Limited,SM,10,ANNUAL GENERAL MEETING,05-Sep-2019,,07-Sep-2019,14-Sep-2019
32,DRL,Dhanuka Realty Limited,SM,10,ANNUAL GENERAL MEETING,20-Jul-2017,,24-Jul-2017,30-Jul-2017
33,GLOBAL,Global Education Limited,SM,10,DIVIDEND- RS 2.50 PER SHARE,26-Jul-2018,27-Jul-2018,,
34,GLOBE,Globe Textiles (India) Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
35,GLOBE,Globe Textiles (India) Limited,SM,10,ANNUAL GENERAL MEETING,20-Aug-2018,,22-Aug-2018,30-Aug-2018
36,SILVERTUC,Silver Touch Technologies Limited,SM,10,INTERIM DIVIDEND - RS 0.50 PER SHARE,23-Mar-2020,25-Mar-2020,,
37,SUMIT,Sumit Woods Limited,SM,10,ANNUAL GENERAL MEETING,27-Jun-2019,,29-Jun-2019,04-Jul-2019
38,SHANTI,Shanti Overseas (India) Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2019,,19-Sep-2019,27-Sep-2019
39,WORTH,Worth Peripherals Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.90 PER SHARE,06-Aug-2019,,08-Aug-2019,14-Aug-2019
40,WORTH,Worth Peripherals Limited,SM,10,ANNUAL GENERAL MEETING,31-Jul-2018,,02-Aug-2018,08-Aug-2018
41,RKEC,RKEC Projects Limited,SM,10,INTERIM DIVIDEND - RE 1/- PER SHARE,22-Nov-2017,23-Nov-2017,,
42,RMDRIP,R M Drip and Sprinklers Systems Limited,SM,10,ANNUAL GENERAL MEETING,16-Sep-2019,,18-Sep-2019,24-Sep-2019
43,VASA,Vasa Retail & Oversea Ltd,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.25 PER SHARE,19-Sep-2019,,21-Sep-2019,28-Sep-2019
44,HITECH,Hi-Tech Pipes Limited,SM,10,DIVIDEND - RE 0.50 PER SHARE,21-Sep-2016,,23-Sep-2016,29-Sep-2016
45,AAKASH,Aakash Exploration Services Limited,SM,10,BONUS 1:2,26-Mar-2020,27-Mar-2020,,
46,CONTI,Continental Seeds and Chemicals Limited,SM,10,BONUS 1:1.5,13-Feb-2020,15-Feb-2020,,
47,ACCURACY,Accuracy Shipping Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,,15-Sep-2018,24-Sep-2018
48,AVONMPL,Avon Moldplast Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
